# Assembly name:  ASM17555v1
# Organism name:  Saccharolobus solfataricus 98/2 (crenarchaeotes)
# Infraspecific name:  strain=98/2
# Taxid:          555311
# BioSample:      SAMN00001854
# BioProject:     PRJNA33849
# Submitter:      Washington State University
# Date:           2009-07-20
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    ACUK01
# Excluded from RefSeq: contaminated
# Assembly anomaly: contaminated
# GenBank assembly accession: GCA_000175555.1
# RefSeq assembly accession: GCF_000175555.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000175565.1	GCF_000175565.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
ACUK01000299.1	unplaced-scaffold	na	na	ACUK01000299.1	=	NZ_ACUK01000299.1	Primary Assembly	145	na
ACUK01000298.1	unplaced-scaffold	na	na	ACUK01000298.1	=	NZ_ACUK01000298.1	Primary Assembly	2756	na
ACUK01000297.1	unplaced-scaffold	na	na	ACUK01000297.1	=	NZ_ACUK01000297.1	Primary Assembly	1199	na
ACUK01000296.1	unplaced-scaffold	na	na	ACUK01000296.1	=	NZ_ACUK01000296.1	Primary Assembly	6660	na
ACUK01000295.1	unplaced-scaffold	na	na	ACUK01000295.1	=	NZ_ACUK01000295.1	Primary Assembly	145	na
ACUK01000294.1	unplaced-scaffold	na	na	ACUK01000294.1	=	NZ_ACUK01000294.1	Primary Assembly	126	na
ACUK01000293.1	unplaced-scaffold	na	na	ACUK01000293.1	=	NZ_ACUK01000293.1	Primary Assembly	99	na
ACUK01000292.1	unplaced-scaffold	na	na	ACUK01000292.1	=	NZ_ACUK01000292.1	Primary Assembly	259	na
ACUK01000291.1	unplaced-scaffold	na	na	ACUK01000291.1	=	NZ_ACUK01000291.1	Primary Assembly	244	na
ACUK01000290.1	unplaced-scaffold	na	na	ACUK01000290.1	=	NZ_ACUK01000290.1	Primary Assembly	3124	na
ACUK01000289.1	unplaced-scaffold	na	na	ACUK01000289.1	=	NZ_ACUK01000289.1	Primary Assembly	310	na
ACUK01000288.1	unplaced-scaffold	na	na	ACUK01000288.1	=	NZ_ACUK01000288.1	Primary Assembly	77041	na
ACUK01000287.1	unplaced-scaffold	na	na	ACUK01000287.1	=	NZ_ACUK01000287.1	Primary Assembly	7966	na
ACUK01000286.1	unplaced-scaffold	na	na	ACUK01000286.1	=	NZ_ACUK01000286.1	Primary Assembly	3696	na
ACUK01000285.1	unplaced-scaffold	na	na	ACUK01000285.1	=	NZ_ACUK01000285.1	Primary Assembly	3763	na
ACUK01000284.1	unplaced-scaffold	na	na	ACUK01000284.1	=	NZ_ACUK01000284.1	Primary Assembly	213	na
ACUK01000283.1	unplaced-scaffold	na	na	ACUK01000283.1	=	NZ_ACUK01000283.1	Primary Assembly	113	na
ACUK01000282.1	unplaced-scaffold	na	na	ACUK01000282.1	=	NZ_ACUK01000282.1	Primary Assembly	4297	na
ACUK01000281.1	unplaced-scaffold	na	na	ACUK01000281.1	=	NZ_ACUK01000281.1	Primary Assembly	128	na
ACUK01000280.1	unplaced-scaffold	na	na	ACUK01000280.1	=	NZ_ACUK01000280.1	Primary Assembly	16238	na
ACUK01000279.1	unplaced-scaffold	na	na	ACUK01000279.1	=	NZ_ACUK01000279.1	Primary Assembly	2405	na
ACUK01000278.1	unplaced-scaffold	na	na	ACUK01000278.1	=	NZ_ACUK01000278.1	Primary Assembly	431	na
ACUK01000277.1	unplaced-scaffold	na	na	ACUK01000277.1	=	NZ_ACUK01000277.1	Primary Assembly	2519	na
ACUK01000276.1	unplaced-scaffold	na	na	ACUK01000276.1	=	NZ_ACUK01000276.1	Primary Assembly	856	na
ACUK01000275.1	unplaced-scaffold	na	na	ACUK01000275.1	=	NZ_ACUK01000275.1	Primary Assembly	1456	na
ACUK01000274.1	unplaced-scaffold	na	na	ACUK01000274.1	=	NZ_ACUK01000274.1	Primary Assembly	416	na
ACUK01000273.1	unplaced-scaffold	na	na	ACUK01000273.1	=	NZ_ACUK01000273.1	Primary Assembly	10639	na
ACUK01000272.1	unplaced-scaffold	na	na	ACUK01000272.1	=	NZ_ACUK01000272.1	Primary Assembly	1230	na
ACUK01000271.1	unplaced-scaffold	na	na	ACUK01000271.1	=	NZ_ACUK01000271.1	Primary Assembly	1097	na
ACUK01000270.1	unplaced-scaffold	na	na	ACUK01000270.1	=	NZ_ACUK01000270.1	Primary Assembly	2229	na
ACUK01000269.1	unplaced-scaffold	na	na	ACUK01000269.1	=	NZ_ACUK01000269.1	Primary Assembly	172	na
ACUK01000268.1	unplaced-scaffold	na	na	ACUK01000268.1	=	NZ_ACUK01000268.1	Primary Assembly	3595	na
ACUK01000267.1	unplaced-scaffold	na	na	ACUK01000267.1	=	NZ_ACUK01000267.1	Primary Assembly	113	na
ACUK01000266.1	unplaced-scaffold	na	na	ACUK01000266.1	=	NZ_ACUK01000266.1	Primary Assembly	3840	na
ACUK01000265.1	unplaced-scaffold	na	na	ACUK01000265.1	=	NZ_ACUK01000265.1	Primary Assembly	848	na
ACUK01000264.1	unplaced-scaffold	na	na	ACUK01000264.1	=	NZ_ACUK01000264.1	Primary Assembly	826	na
ACUK01000263.1	unplaced-scaffold	na	na	ACUK01000263.1	=	NZ_ACUK01000263.1	Primary Assembly	8721	na
ACUK01000262.1	unplaced-scaffold	na	na	ACUK01000262.1	=	NZ_ACUK01000262.1	Primary Assembly	285	na
ACUK01000261.1	unplaced-scaffold	na	na	ACUK01000261.1	=	NZ_ACUK01000261.1	Primary Assembly	290	na
ACUK01000260.1	unplaced-scaffold	na	na	ACUK01000260.1	=	NZ_ACUK01000260.1	Primary Assembly	2338	na
ACUK01000259.1	unplaced-scaffold	na	na	ACUK01000259.1	=	NZ_ACUK01000259.1	Primary Assembly	185	na
ACUK01000258.1	unplaced-scaffold	na	na	ACUK01000258.1	=	NZ_ACUK01000258.1	Primary Assembly	321	na
ACUK01000257.1	unplaced-scaffold	na	na	ACUK01000257.1	=	NZ_ACUK01000257.1	Primary Assembly	453	na
ACUK01000256.1	unplaced-scaffold	na	na	ACUK01000256.1	=	NZ_ACUK01000256.1	Primary Assembly	106	na
ACUK01000255.1	unplaced-scaffold	na	na	ACUK01000255.1	=	NZ_ACUK01000255.1	Primary Assembly	579	na
ACUK01000254.1	unplaced-scaffold	na	na	ACUK01000254.1	=	NZ_ACUK01000254.1	Primary Assembly	1576	na
ACUK01000253.1	unplaced-scaffold	na	na	ACUK01000253.1	=	NZ_ACUK01000253.1	Primary Assembly	623	na
ACUK01000252.1	unplaced-scaffold	na	na	ACUK01000252.1	=	NZ_ACUK01000252.1	Primary Assembly	286	na
ACUK01000251.1	unplaced-scaffold	na	na	ACUK01000251.1	=	NZ_ACUK01000251.1	Primary Assembly	32046	na
ACUK01000250.1	unplaced-scaffold	na	na	ACUK01000250.1	=	NZ_ACUK01000250.1	Primary Assembly	7977	na
ACUK01000249.1	unplaced-scaffold	na	na	ACUK01000249.1	=	NZ_ACUK01000249.1	Primary Assembly	129	na
ACUK01000248.1	unplaced-scaffold	na	na	ACUK01000248.1	=	NZ_ACUK01000248.1	Primary Assembly	838	na
ACUK01000247.1	unplaced-scaffold	na	na	ACUK01000247.1	=	NZ_ACUK01000247.1	Primary Assembly	5111	na
ACUK01000246.1	unplaced-scaffold	na	na	ACUK01000246.1	=	NZ_ACUK01000246.1	Primary Assembly	183	na
ACUK01000245.1	unplaced-scaffold	na	na	ACUK01000245.1	=	NZ_ACUK01000245.1	Primary Assembly	2242	na
ACUK01000244.1	unplaced-scaffold	na	na	ACUK01000244.1	=	NZ_ACUK01000244.1	Primary Assembly	819	na
ACUK01000243.1	unplaced-scaffold	na	na	ACUK01000243.1	=	NZ_ACUK01000243.1	Primary Assembly	9171	na
ACUK01000242.1	unplaced-scaffold	na	na	ACUK01000242.1	=	NZ_ACUK01000242.1	Primary Assembly	4762	na
ACUK01000241.1	unplaced-scaffold	na	na	ACUK01000241.1	=	NZ_ACUK01000241.1	Primary Assembly	6439	na
ACUK01000240.1	unplaced-scaffold	na	na	ACUK01000240.1	=	NZ_ACUK01000240.1	Primary Assembly	37185	na
ACUK01000239.1	unplaced-scaffold	na	na	ACUK01000239.1	=	NZ_ACUK01000239.1	Primary Assembly	1028	na
ACUK01000238.1	unplaced-scaffold	na	na	ACUK01000238.1	=	NZ_ACUK01000238.1	Primary Assembly	2653	na
ACUK01000237.1	unplaced-scaffold	na	na	ACUK01000237.1	=	NZ_ACUK01000237.1	Primary Assembly	137	na
ACUK01000236.1	unplaced-scaffold	na	na	ACUK01000236.1	=	NZ_ACUK01000236.1	Primary Assembly	114	na
ACUK01000235.1	unplaced-scaffold	na	na	ACUK01000235.1	=	NZ_ACUK01000235.1	Primary Assembly	3116	na
ACUK01000234.1	unplaced-scaffold	na	na	ACUK01000234.1	=	NZ_ACUK01000234.1	Primary Assembly	1457	na
ACUK01000233.1	unplaced-scaffold	na	na	ACUK01000233.1	=	NZ_ACUK01000233.1	Primary Assembly	123	na
ACUK01000232.1	unplaced-scaffold	na	na	ACUK01000232.1	=	NZ_ACUK01000232.1	Primary Assembly	1276	na
ACUK01000231.1	unplaced-scaffold	na	na	ACUK01000231.1	=	NZ_ACUK01000231.1	Primary Assembly	478	na
ACUK01000230.1	unplaced-scaffold	na	na	ACUK01000230.1	=	NZ_ACUK01000230.1	Primary Assembly	3790	na
ACUK01000229.1	unplaced-scaffold	na	na	ACUK01000229.1	=	NZ_ACUK01000229.1	Primary Assembly	6141	na
ACUK01000228.1	unplaced-scaffold	na	na	ACUK01000228.1	=	NZ_ACUK01000228.1	Primary Assembly	1661	na
ACUK01000227.1	unplaced-scaffold	na	na	ACUK01000227.1	=	NZ_ACUK01000227.1	Primary Assembly	5723	na
ACUK01000226.1	unplaced-scaffold	na	na	ACUK01000226.1	=	NZ_ACUK01000226.1	Primary Assembly	480	na
ACUK01000225.1	unplaced-scaffold	na	na	ACUK01000225.1	=	NZ_ACUK01000225.1	Primary Assembly	386	na
ACUK01000224.1	unplaced-scaffold	na	na	ACUK01000224.1	=	NZ_ACUK01000224.1	Primary Assembly	30577	na
ACUK01000223.1	unplaced-scaffold	na	na	ACUK01000223.1	=	NZ_ACUK01000223.1	Primary Assembly	961	na
ACUK01000222.1	unplaced-scaffold	na	na	ACUK01000222.1	=	NZ_ACUK01000222.1	Primary Assembly	24718	na
ACUK01000221.1	unplaced-scaffold	na	na	ACUK01000221.1	=	NZ_ACUK01000221.1	Primary Assembly	5756	na
ACUK01000220.1	unplaced-scaffold	na	na	ACUK01000220.1	=	NZ_ACUK01000220.1	Primary Assembly	223	na
ACUK01000219.1	unplaced-scaffold	na	na	ACUK01000219.1	=	NZ_ACUK01000219.1	Primary Assembly	349	na
ACUK01000218.1	unplaced-scaffold	na	na	ACUK01000218.1	=	NZ_ACUK01000218.1	Primary Assembly	110	na
ACUK01000217.1	unplaced-scaffold	na	na	ACUK01000217.1	=	NZ_ACUK01000217.1	Primary Assembly	450	na
ACUK01000216.1	unplaced-scaffold	na	na	ACUK01000216.1	=	NZ_ACUK01000216.1	Primary Assembly	1070	na
ACUK01000215.1	unplaced-scaffold	na	na	ACUK01000215.1	=	NZ_ACUK01000215.1	Primary Assembly	5906	na
ACUK01000214.1	unplaced-scaffold	na	na	ACUK01000214.1	=	NZ_ACUK01000214.1	Primary Assembly	6001	na
ACUK01000213.1	unplaced-scaffold	na	na	ACUK01000213.1	=	NZ_ACUK01000213.1	Primary Assembly	334	na
ACUK01000212.1	unplaced-scaffold	na	na	ACUK01000212.1	=	NZ_ACUK01000212.1	Primary Assembly	1354	na
ACUK01000211.1	unplaced-scaffold	na	na	ACUK01000211.1	=	NZ_ACUK01000211.1	Primary Assembly	183	na
ACUK01000210.1	unplaced-scaffold	na	na	ACUK01000210.1	=	NZ_ACUK01000210.1	Primary Assembly	2811	na
ACUK01000209.1	unplaced-scaffold	na	na	ACUK01000209.1	=	NZ_ACUK01000209.1	Primary Assembly	13394	na
ACUK01000208.1	unplaced-scaffold	na	na	ACUK01000208.1	=	NZ_ACUK01000208.1	Primary Assembly	1354	na
ACUK01000207.1	unplaced-scaffold	na	na	ACUK01000207.1	=	NZ_ACUK01000207.1	Primary Assembly	8107	na
ACUK01000206.1	unplaced-scaffold	na	na	ACUK01000206.1	=	NZ_ACUK01000206.1	Primary Assembly	17411	na
ACUK01000205.1	unplaced-scaffold	na	na	ACUK01000205.1	=	NZ_ACUK01000205.1	Primary Assembly	198146	na
ACUK01000204.1	unplaced-scaffold	na	na	ACUK01000204.1	=	NZ_ACUK01000204.1	Primary Assembly	259	na
ACUK01000203.1	unplaced-scaffold	na	na	ACUK01000203.1	=	NZ_ACUK01000203.1	Primary Assembly	458	na
ACUK01000202.1	unplaced-scaffold	na	na	ACUK01000202.1	=	NZ_ACUK01000202.1	Primary Assembly	532	na
ACUK01000201.1	unplaced-scaffold	na	na	ACUK01000201.1	=	NZ_ACUK01000201.1	Primary Assembly	7068	na
ACUK01000200.1	unplaced-scaffold	na	na	ACUK01000200.1	=	NZ_ACUK01000200.1	Primary Assembly	2534	na
ACUK01000199.1	unplaced-scaffold	na	na	ACUK01000199.1	=	NZ_ACUK01000199.1	Primary Assembly	3502	na
ACUK01000198.1	unplaced-scaffold	na	na	ACUK01000198.1	=	NZ_ACUK01000198.1	Primary Assembly	4634	na
ACUK01000197.1	unplaced-scaffold	na	na	ACUK01000197.1	=	NZ_ACUK01000197.1	Primary Assembly	12980	na
ACUK01000196.1	unplaced-scaffold	na	na	ACUK01000196.1	=	NZ_ACUK01000196.1	Primary Assembly	3751	na
ACUK01000195.1	unplaced-scaffold	na	na	ACUK01000195.1	=	NZ_ACUK01000195.1	Primary Assembly	4994	na
ACUK01000194.1	unplaced-scaffold	na	na	ACUK01000194.1	=	NZ_ACUK01000194.1	Primary Assembly	200	na
ACUK01000193.1	unplaced-scaffold	na	na	ACUK01000193.1	=	NZ_ACUK01000193.1	Primary Assembly	17338	na
ACUK01000192.1	unplaced-scaffold	na	na	ACUK01000192.1	=	NZ_ACUK01000192.1	Primary Assembly	12564	na
ACUK01000191.1	unplaced-scaffold	na	na	ACUK01000191.1	=	NZ_ACUK01000191.1	Primary Assembly	4910	na
ACUK01000190.1	unplaced-scaffold	na	na	ACUK01000190.1	=	NZ_ACUK01000190.1	Primary Assembly	7627	na
ACUK01000189.1	unplaced-scaffold	na	na	ACUK01000189.1	=	NZ_ACUK01000189.1	Primary Assembly	229	na
ACUK01000188.1	unplaced-scaffold	na	na	ACUK01000188.1	=	NZ_ACUK01000188.1	Primary Assembly	11800	na
ACUK01000187.1	unplaced-scaffold	na	na	ACUK01000187.1	=	NZ_ACUK01000187.1	Primary Assembly	194	na
ACUK01000186.1	unplaced-scaffold	na	na	ACUK01000186.1	=	NZ_ACUK01000186.1	Primary Assembly	1805	na
ACUK01000185.1	unplaced-scaffold	na	na	ACUK01000185.1	=	NZ_ACUK01000185.1	Primary Assembly	240	na
ACUK01000184.1	unplaced-scaffold	na	na	ACUK01000184.1	=	NZ_ACUK01000184.1	Primary Assembly	241	na
ACUK01000183.1	unplaced-scaffold	na	na	ACUK01000183.1	=	NZ_ACUK01000183.1	Primary Assembly	241	na
ACUK01000182.1	unplaced-scaffold	na	na	ACUK01000182.1	=	NZ_ACUK01000182.1	Primary Assembly	1773	na
ACUK01000181.1	unplaced-scaffold	na	na	ACUK01000181.1	=	NZ_ACUK01000181.1	Primary Assembly	241	na
ACUK01000180.1	unplaced-scaffold	na	na	ACUK01000180.1	=	NZ_ACUK01000180.1	Primary Assembly	241	na
ACUK01000179.1	unplaced-scaffold	na	na	ACUK01000179.1	=	NZ_ACUK01000179.1	Primary Assembly	241	na
ACUK01000178.1	unplaced-scaffold	na	na	ACUK01000178.1	=	NZ_ACUK01000178.1	Primary Assembly	241	na
ACUK01000177.1	unplaced-scaffold	na	na	ACUK01000177.1	=	NZ_ACUK01000177.1	Primary Assembly	241	na
ACUK01000176.1	unplaced-scaffold	na	na	ACUK01000176.1	=	NZ_ACUK01000176.1	Primary Assembly	241	na
ACUK01000175.1	unplaced-scaffold	na	na	ACUK01000175.1	=	NZ_ACUK01000175.1	Primary Assembly	189	na
ACUK01000174.1	unplaced-scaffold	na	na	ACUK01000174.1	=	NZ_ACUK01000174.1	Primary Assembly	241	na
ACUK01000173.1	unplaced-scaffold	na	na	ACUK01000173.1	=	NZ_ACUK01000173.1	Primary Assembly	241	na
ACUK01000172.1	unplaced-scaffold	na	na	ACUK01000172.1	=	NZ_ACUK01000172.1	Primary Assembly	241	na
ACUK01000171.1	unplaced-scaffold	na	na	ACUK01000171.1	=	NZ_ACUK01000171.1	Primary Assembly	241	na
ACUK01000170.1	unplaced-scaffold	na	na	ACUK01000170.1	=	NZ_ACUK01000170.1	Primary Assembly	241	na
ACUK01000169.1	unplaced-scaffold	na	na	ACUK01000169.1	=	NZ_ACUK01000169.1	Primary Assembly	239	na
ACUK01000168.1	unplaced-scaffold	na	na	ACUK01000168.1	=	NZ_ACUK01000168.1	Primary Assembly	175	na
ACUK01000167.1	unplaced-scaffold	na	na	ACUK01000167.1	=	NZ_ACUK01000167.1	Primary Assembly	141	na
ACUK01000166.1	unplaced-scaffold	na	na	ACUK01000166.1	=	NZ_ACUK01000166.1	Primary Assembly	220	na
ACUK01000165.1	unplaced-scaffold	na	na	ACUK01000165.1	=	NZ_ACUK01000165.1	Primary Assembly	241	na
ACUK01000164.1	unplaced-scaffold	na	na	ACUK01000164.1	=	NZ_ACUK01000164.1	Primary Assembly	241	na
ACUK01000163.1	unplaced-scaffold	na	na	ACUK01000163.1	=	NZ_ACUK01000163.1	Primary Assembly	121	na
ACUK01000162.1	unplaced-scaffold	na	na	ACUK01000162.1	=	NZ_ACUK01000162.1	Primary Assembly	223	na
ACUK01000161.1	unplaced-scaffold	na	na	ACUK01000161.1	=	NZ_ACUK01000161.1	Primary Assembly	205	na
ACUK01000160.1	unplaced-scaffold	na	na	ACUK01000160.1	=	NZ_ACUK01000160.1	Primary Assembly	183	na
ACUK01000159.1	unplaced-scaffold	na	na	ACUK01000159.1	=	NZ_ACUK01000159.1	Primary Assembly	9871	na
ACUK01000158.1	unplaced-scaffold	na	na	ACUK01000158.1	=	NZ_ACUK01000158.1	Primary Assembly	100	na
ACUK01000157.1	unplaced-scaffold	na	na	ACUK01000157.1	=	NZ_ACUK01000157.1	Primary Assembly	4283	na
ACUK01000156.1	unplaced-scaffold	na	na	ACUK01000156.1	=	NZ_ACUK01000156.1	Primary Assembly	543	na
ACUK01000155.1	unplaced-scaffold	na	na	ACUK01000155.1	=	NZ_ACUK01000155.1	Primary Assembly	241	na
ACUK01000154.1	unplaced-scaffold	na	na	ACUK01000154.1	=	NZ_ACUK01000154.1	Primary Assembly	108	na
ACUK01000153.1	unplaced-scaffold	na	na	ACUK01000153.1	=	NZ_ACUK01000153.1	Primary Assembly	2878	na
ACUK01000152.1	unplaced-scaffold	na	na	ACUK01000152.1	=	NZ_ACUK01000152.1	Primary Assembly	104	na
ACUK01000151.1	unplaced-scaffold	na	na	ACUK01000151.1	=	NZ_ACUK01000151.1	Primary Assembly	436	na
ACUK01000150.1	unplaced-scaffold	na	na	ACUK01000150.1	=	NZ_ACUK01000150.1	Primary Assembly	144	na
ACUK01000149.1	unplaced-scaffold	na	na	ACUK01000149.1	=	NZ_ACUK01000149.1	Primary Assembly	139	na
ACUK01000148.1	unplaced-scaffold	na	na	ACUK01000148.1	=	NZ_ACUK01000148.1	Primary Assembly	342	na
ACUK01000147.1	unplaced-scaffold	na	na	ACUK01000147.1	=	NZ_ACUK01000147.1	Primary Assembly	6324	na
ACUK01000146.1	unplaced-scaffold	na	na	ACUK01000146.1	=	NZ_ACUK01000146.1	Primary Assembly	1992	na
ACUK01000145.1	unplaced-scaffold	na	na	ACUK01000145.1	=	NZ_ACUK01000145.1	Primary Assembly	214	na
ACUK01000144.1	unplaced-scaffold	na	na	ACUK01000144.1	=	NZ_ACUK01000144.1	Primary Assembly	241	na
ACUK01000143.1	unplaced-scaffold	na	na	ACUK01000143.1	=	NZ_ACUK01000143.1	Primary Assembly	607	na
ACUK01000142.1	unplaced-scaffold	na	na	ACUK01000142.1	=	NZ_ACUK01000142.1	Primary Assembly	155	na
ACUK01000141.1	unplaced-scaffold	na	na	ACUK01000141.1	=	NZ_ACUK01000141.1	Primary Assembly	409	na
ACUK01000140.1	unplaced-scaffold	na	na	ACUK01000140.1	=	NZ_ACUK01000140.1	Primary Assembly	120	na
ACUK01000139.1	unplaced-scaffold	na	na	ACUK01000139.1	=	NZ_ACUK01000139.1	Primary Assembly	241	na
ACUK01000138.1	unplaced-scaffold	na	na	ACUK01000138.1	=	NZ_ACUK01000138.1	Primary Assembly	274	na
ACUK01000137.1	unplaced-scaffold	na	na	ACUK01000137.1	=	NZ_ACUK01000137.1	Primary Assembly	241	na
ACUK01000136.1	unplaced-scaffold	na	na	ACUK01000136.1	=	NZ_ACUK01000136.1	Primary Assembly	241	na
ACUK01000135.1	unplaced-scaffold	na	na	ACUK01000135.1	=	NZ_ACUK01000135.1	Primary Assembly	123	na
ACUK01000134.1	unplaced-scaffold	na	na	ACUK01000134.1	=	NZ_ACUK01000134.1	Primary Assembly	757	na
ACUK01000133.1	unplaced-scaffold	na	na	ACUK01000133.1	=	NZ_ACUK01000133.1	Primary Assembly	1553	na
ACUK01000132.1	unplaced-scaffold	na	na	ACUK01000132.1	=	NZ_ACUK01000132.1	Primary Assembly	162	na
ACUK01000131.1	unplaced-scaffold	na	na	ACUK01000131.1	=	NZ_ACUK01000131.1	Primary Assembly	241	na
ACUK01000130.1	unplaced-scaffold	na	na	ACUK01000130.1	=	NZ_ACUK01000130.1	Primary Assembly	241	na
ACUK01000129.1	unplaced-scaffold	na	na	ACUK01000129.1	=	NZ_ACUK01000129.1	Primary Assembly	168	na
ACUK01000128.1	unplaced-scaffold	na	na	ACUK01000128.1	=	NZ_ACUK01000128.1	Primary Assembly	5975	na
ACUK01000127.1	unplaced-scaffold	na	na	ACUK01000127.1	=	NZ_ACUK01000127.1	Primary Assembly	4927	na
ACUK01000126.1	unplaced-scaffold	na	na	ACUK01000126.1	=	NZ_ACUK01000126.1	Primary Assembly	153	na
ACUK01000125.1	unplaced-scaffold	na	na	ACUK01000125.1	=	NZ_ACUK01000125.1	Primary Assembly	976	na
ACUK01000124.1	unplaced-scaffold	na	na	ACUK01000124.1	=	NZ_ACUK01000124.1	Primary Assembly	1625	na
ACUK01000123.1	unplaced-scaffold	na	na	ACUK01000123.1	=	NZ_ACUK01000123.1	Primary Assembly	557	na
ACUK01000122.1	unplaced-scaffold	na	na	ACUK01000122.1	=	NZ_ACUK01000122.1	Primary Assembly	18467	na
ACUK01000121.1	unplaced-scaffold	na	na	ACUK01000121.1	=	NZ_ACUK01000121.1	Primary Assembly	3752	na
ACUK01000120.1	unplaced-scaffold	na	na	ACUK01000120.1	=	NZ_ACUK01000120.1	Primary Assembly	282	na
ACUK01000119.1	unplaced-scaffold	na	na	ACUK01000119.1	=	NZ_ACUK01000119.1	Primary Assembly	202151	na
ACUK01000118.1	unplaced-scaffold	na	na	ACUK01000118.1	=	NZ_ACUK01000118.1	Primary Assembly	193	na
ACUK01000117.1	unplaced-scaffold	na	na	ACUK01000117.1	=	NZ_ACUK01000117.1	Primary Assembly	170	na
ACUK01000116.1	unplaced-scaffold	na	na	ACUK01000116.1	=	NZ_ACUK01000116.1	Primary Assembly	387	na
ACUK01000115.1	unplaced-scaffold	na	na	ACUK01000115.1	=	NZ_ACUK01000115.1	Primary Assembly	1801	na
ACUK01000114.1	unplaced-scaffold	na	na	ACUK01000114.1	=	NZ_ACUK01000114.1	Primary Assembly	5584	na
ACUK01000113.1	unplaced-scaffold	na	na	ACUK01000113.1	=	NZ_ACUK01000113.1	Primary Assembly	509	na
ACUK01000112.1	unplaced-scaffold	na	na	ACUK01000112.1	=	NZ_ACUK01000112.1	Primary Assembly	4599	na
ACUK01000111.1	unplaced-scaffold	na	na	ACUK01000111.1	=	NZ_ACUK01000111.1	Primary Assembly	49109	na
ACUK01000110.1	unplaced-scaffold	na	na	ACUK01000110.1	=	NZ_ACUK01000110.1	Primary Assembly	3554	na
ACUK01000109.1	unplaced-scaffold	na	na	ACUK01000109.1	=	NZ_ACUK01000109.1	Primary Assembly	5926	na
ACUK01000108.1	unplaced-scaffold	na	na	ACUK01000108.1	=	NZ_ACUK01000108.1	Primary Assembly	106	na
ACUK01000107.1	unplaced-scaffold	na	na	ACUK01000107.1	=	NZ_ACUK01000107.1	Primary Assembly	1693	na
ACUK01000106.1	unplaced-scaffold	na	na	ACUK01000106.1	=	NZ_ACUK01000106.1	Primary Assembly	8647	na
ACUK01000105.1	unplaced-scaffold	na	na	ACUK01000105.1	=	NZ_ACUK01000105.1	Primary Assembly	1444	na
ACUK01000104.1	unplaced-scaffold	na	na	ACUK01000104.1	=	NZ_ACUK01000104.1	Primary Assembly	8702	na
ACUK01000103.1	unplaced-scaffold	na	na	ACUK01000103.1	=	NZ_ACUK01000103.1	Primary Assembly	5702	na
ACUK01000102.1	unplaced-scaffold	na	na	ACUK01000102.1	=	NZ_ACUK01000102.1	Primary Assembly	257	na
ACUK01000101.1	unplaced-scaffold	na	na	ACUK01000101.1	=	NZ_ACUK01000101.1	Primary Assembly	20380	na
ACUK01000100.1	unplaced-scaffold	na	na	ACUK01000100.1	=	NZ_ACUK01000100.1	Primary Assembly	10707	na
ACUK01000099.1	unplaced-scaffold	na	na	ACUK01000099.1	=	NZ_ACUK01000099.1	Primary Assembly	5159	na
ACUK01000098.1	unplaced-scaffold	na	na	ACUK01000098.1	=	NZ_ACUK01000098.1	Primary Assembly	10817	na
ACUK01000097.1	unplaced-scaffold	na	na	ACUK01000097.1	=	NZ_ACUK01000097.1	Primary Assembly	6061	na
ACUK01000096.1	unplaced-scaffold	na	na	ACUK01000096.1	=	NZ_ACUK01000096.1	Primary Assembly	11473	na
ACUK01000095.1	unplaced-scaffold	na	na	ACUK01000095.1	=	NZ_ACUK01000095.1	Primary Assembly	7049	na
ACUK01000094.1	unplaced-scaffold	na	na	ACUK01000094.1	=	NZ_ACUK01000094.1	Primary Assembly	2037	na
ACUK01000093.1	unplaced-scaffold	na	na	ACUK01000093.1	=	NZ_ACUK01000093.1	Primary Assembly	3098	na
ACUK01000092.1	unplaced-scaffold	na	na	ACUK01000092.1	=	NZ_ACUK01000092.1	Primary Assembly	21181	na
ACUK01000091.1	unplaced-scaffold	na	na	ACUK01000091.1	=	NZ_ACUK01000091.1	Primary Assembly	5726	na
ACUK01000090.1	unplaced-scaffold	na	na	ACUK01000090.1	=	NZ_ACUK01000090.1	Primary Assembly	4489	na
ACUK01000089.1	unplaced-scaffold	na	na	ACUK01000089.1	=	NZ_ACUK01000089.1	Primary Assembly	1884	na
ACUK01000088.1	unplaced-scaffold	na	na	ACUK01000088.1	=	NZ_ACUK01000088.1	Primary Assembly	871	na
ACUK01000087.1	unplaced-scaffold	na	na	ACUK01000087.1	=	NZ_ACUK01000087.1	Primary Assembly	1119	na
ACUK01000086.1	unplaced-scaffold	na	na	ACUK01000086.1	=	NZ_ACUK01000086.1	Primary Assembly	4224	na
ACUK01000085.1	unplaced-scaffold	na	na	ACUK01000085.1	=	NZ_ACUK01000085.1	Primary Assembly	2501	na
