memType,storyIx,sentIx,sent,majorBin,expectedBin,eventOrNot
recalled,3,9,"After this, we were supposed to go to Dollywood, but the rain canceled it.",0.75,0.25,0.875
recalled,3,13,They have a coaster that pulls so many G's everyone blacks out or gets close to it.,0.25,0.125,0.375
recalled,3,18,We spent three days.,0.125,0.0,0.125
recalled,3,21,I had never seen it from the Canadian side.,0.125,0.0,0.125
retold,2,0,My wife and I were married in October 2018.,0.875,0.75,0.875
retold,2,1,"However, because of our schedules, we couldn't go on our honeymoon until June 2019.",0.375,0.25,0.5
retold,2,2,"Prior to the honeymoon I had some very important work due, and I was really looking forward to the time to have fun.",0.25,0.125,0.25
retold,2,3,"We both love theme parks, and so our honeymoon was to visit six new theme parks.",0.625,0.25,0.75
retold,2,6,They also had tons of great water rides.,0.25,0.125,0.375
retold,2,9,"Unfortunately, it was 100 degrees and humid, and for some reason the water park wasn't open.",0.375,0.125,0.375
retold,2,11,"Sadly, we had to cancel the visit to Dollywood because of a huge storm.",0.625,0.0,0.625
retold,2,18,The most memorable part of the Honeymoon was probably the first park.,0.125,0.0,0.125
imagined,2,0,"Three weeks ago, my life changed for the better.",0.7142857142857143,0.1428571428571428,0.8571428571428571
imagined,2,1,"I came face-to-face with how I was truly missing out on life, on what matters most.",0.2857142857142857,0.1428571428571428,0.2857142857142857
imagined,2,2,"Unlike some people that realize too late they missed time with a loved one, I get to start over now.",0.2857142857142857,0.0,0.2857142857142857
imagined,2,5,Nothing different happened that morning or during that day.,0.1428571428571428,0.0,0.1428571428571428
imagined,2,12,She ran right over children who were getting off the bus.,0.7142857142857143,0.0,0.7142857142857143
imagined,2,13,The kids were killed in that horrible accident.,0.7142857142857143,0.0,0.7142857142857143
imagined,2,14,My friend couldn't even offer condolences; she was just saying how busy she was and that she didn't see.,0.2857142857142857,0.0,0.2857142857142857
imagined,2,15,"She was too busy to see the bus stopped, too busy to see the precious lives in front of her...too busy...too busy.",0.2857142857142857,0.0,0.2857142857142857
imagined,2,16,"I picked up my kid and went home, too moved to eat dinner that night.",0.5714285714285714,0.2857142857142857,0.7142857142857143
imagined,2,17,I could have been that woman: too busy to see; too busy with what?,0.2857142857142857,0.1428571428571428,0.2857142857142857
imagined,2,21,"I realized that I had been going through life numb, as if on auto-pilot, just checking off tasks on a list.",0.4285714285714285,0.1428571428571428,0.4285714285714285
recalled,1,5,I decided that I was tired of the same thing every day and tired of the waiting for something more when it's not possible to know how much time you have left.,0.2857142857142857,0.1428571428571428,0.2857142857142857
recalled,1,8,I reminded myself it was time to actually live my life and that meant having more of these happy moments so I decided to get off of auto pilot and truly live.,0.5714285714285714,0.1428571428571428,0.7142857142857143
recalled,1,10,I had found  extra work in an online platform and it was nice to have extra income in times when I needed it.,0.5714285714285714,0.0,0.5714285714285714
recalled,1,11,I started to think about my job and how I had to miss out on things with my kids because of work and I decided to just quit.,0.5714285714285714,0.0,0.5714285714285714
recalled,1,12,"Out of the blue, I just quit my job after 7 1/2 years and decided I was going to support myself and my children by committing to work full time online so I would be a single stay at home mom.",0.8571428571428571,0.0,0.8571428571428571
recalled,1,14,"I questioned myself and then realized, this chapter was officially over.",0.2857142857142857,0.1428571428571428,0.4285714285714285
recalled,1,21,For the first time in as long as I can even remember I'm happy and that's an incredible feeling.,0.2857142857142857,0.0,0.2857142857142857
retold,3,0,I always feel like I am not in the moment.,0.1428571428571428,0.0,0.1428571428571428
retold,3,2,It's like a lightbulb went off and I realized what all I'm missing out on.,0.4285714285714285,0.0,0.4285714285714285
retold,3,4,"Now, that I finally see what I've been doing I know what I have to change.",0.4285714285714285,0.0,0.4285714285714285
imagined,1,3,My lane partner was very vocal on the team chat on how I am very inefficient and was stealing his experience points in the game.,0.375,0.25,0.625
imagined,1,4,He did say something about how 'noob' I am and grew more and more frustrated minute by minute.,0.5,0.375,0.75
imagined,1,5,"He was killed multiple times in the early game and of course, I was blamed for it.",0.625,0.125,0.625
imagined,1,9,"Even though he was being angry at me and whenever I made I mistake I get bullied by him, he also never gave up and continued gaining experience and gold necessary for his hero to be powerful.",0.375,0.125,0.375
imagined,1,10,"The first time the enemy made a mistake and we won a team fight, I immediately congratulated our team for the great play and my other teammates were all audibly optimistic as well.",0.5,0.375,0.75
imagined,1,11,Our carry Slark at this point has considerably limited his verbal abuse and I was sure that he will cooperate once he realized we were all there to win the game.,0.375,0.25,0.625
imagined,1,12,The enemy had many more mistakes after that and we had a very satisfying comeback.,0.5,0.25,0.625
imagined,1,14,I was surprised that he did commend me back and got a friend request from him after the game.,0.625,0.0,0.625
imagined,1,16,I actually quite like his company and we enjoy our in-game banter and he actually jokes a lot with me now.,0.5,0.0,0.5
recalled,2,0,Two days ago my son was harassed at football practice by some of his teammates.,0.75,0.125,0.75
recalled,2,2,"However, some kids have taken affront to the fact that he is an all around good kid and good guy.",0.25,0.0,0.25
recalled,2,3,They are jealous of his popularity and his alleged perfection.,0.375,0.125,0.375
recalled,2,4,Before practice 4 kids circled him up and pushed him around while taunting him with emotionally scarring words that effected his game play during practice.,0.75,0.125,0.75
recalled,2,10,"He was surprised because everyone likes my son, and was concerned that he opted not to say anything to him about it.",0.5,0.0,0.5
recalled,2,12,He showed the whole team the footage at practice the next day.,0.75,0.5,1.0
recalled,2,13,The entire team -except those kids of course - voted to have the brats kicked off the team for bullying and harassment.,0.75,0.375,0.75
recalled,2,14,They were also suspended from school for their behavior.,0.875,0.5,1.0
retold,3,0,"My son, we will call him Sam, decided to play football.",0.625,0.25,0.75
retold,3,1,"Now, Sam is a bit on the husky side, but that is truly his only downfall.",0.25,0.0,0.25
retold,3,8,"The coaches son said some incredibly hateful things to Sam behind his back, but loudly enough  so that Sam could hear.",0.75,0.25,1.0
retold,3,9,He was crying and so upset when all of those kids laughed and picked on him all practice.,0.75,0.625,0.75
retold,3,11,"I talked to Sam, and he decided to stay.",0.375,0.25,0.625
retold,3,13,"When it came time to scrimmage the other 3rd and 4th grade team, they SHOULD have demolished them,  but since Sam was a left tackle and his job was to protect the punk that had been treating him like crap - he decided to literally, and VERY obviously step aside and allowed the 150 lb beast of a defensive linebacker attack the little jerk.",0.75,0.0,0.75
retold,3,15,"Sam called a time out and very loudly said, 'I tell you what, Nate.",0.5,0.375,0.75
retold,3,17,Does it seem really smart to be mean to the one person protecting you from a monster sized kid with death in his eyes?,0.375,0.125,0.5
retold,3,18,Do you think it makes sense to piss off someone twice your size?,0.25,0.125,0.25
retold,3,23,"I was SO SO proud, of Sam - and then someone started clapping, and then everyone joined in.",0.5,0.375,0.75
retold,3,24,He handled it like a champ - and since then - there have been no squabbles on that field!,0.4285714285714285,0.0,0.4285714285714285
imagined,2,0,"A couple of weeks ago, there was a rumor that my co-worker, John had passed away.",1.0,0.1428571428571428,1.0
imagined,2,1,He was so very liked by many people.,0.2857142857142857,0.0,0.2857142857142857
imagined,2,2,His down to earth and jovial personality will certainly be missed.,0.1428571428571428,0.0,0.1428571428571428
imagined,2,3,The rumor was confirmed to us by his wife and family and everyone at worked was sad to hear the news.,0.5714285714285714,0.2857142857142857,0.5714285714285714
imagined,2,5,We got news of the funeral.,0.4285714285714285,0.2857142857142857,0.7142857142857143
imagined,2,7,"In fact, we heard that we would be encourage to wear jerseys of his favorite sports team.",0.5714285714285714,0.1428571428571428,0.7142857142857143
imagined,2,8,This took some of us by surprise.,0.4285714285714285,0.0,0.4285714285714285
imagined,2,9,We wanted to show a formal amount of respect.,0.4285714285714285,0.0,0.4285714285714285
imagined,2,10,But I guess this is the way he wanted it.,0.1428571428571428,0.0,0.1428571428571428
imagined,2,11,It was nice to see everyone show up wearing sport jersey.,0.4285714285714285,0.1428571428571428,0.4285714285714285
imagined,2,12,Not everyone joined in on the informal attire.,0.7142857142857143,0.1428571428571428,0.7142857142857143
imagined,2,13,I think they felt uncomfortably overdressed.,0.2857142857142857,0.0,0.2857142857142857
imagined,2,14,"Ha ha ha, John was probably laughing in the casket!",0.2857142857142857,0.1428571428571428,0.2857142857142857
imagined,2,16,We all paid our respects during the ceremony and at the grave site.,0.2857142857142857,0.1428571428571428,0.4285714285714285
imagined,2,17,Afterwards we were all invited to a reception at a local sports bar.,0.5714285714285714,0.2857142857142857,0.8571428571428571
imagined,2,18,"Here, we all told our stories of John and the experiences we had with him.",0.4285714285714285,0.1428571428571428,0.5714285714285714
imagined,2,20,I for one will remember all the good times I had with John.,0.1428571428571428,0.0,0.1428571428571428
imagined,2,22,"The following week at work, a number of us talked about Johns service.",0.2857142857142857,0.0,0.2857142857142857
imagined,2,24,Our management decided to have one day a month where we could wear our sports jerseys.,0.5714285714285714,0.0,0.5714285714285714
recalled,3,0,A co-worker friend recently was diagnosed with cancer.,1.0,0.1428571428571428,1.0
recalled,3,1,He had been undergoing chemo and was nearing time to go home.,0.5714285714285714,0.1428571428571428,0.5714285714285714
recalled,3,2,He suddenly caught an infection and got seriously worse and eventually passed away.,0.5714285714285714,0.1428571428571428,0.7142857142857143
recalled,3,3,He was only 30 years old.,0.4285714285714285,0.0,0.4285714285714285
recalled,3,4,His funeral was just two weekends ago and many came to support his wife and children as they move on with life.,0.4285714285714285,0.0,0.4285714285714285
recalled,3,5,He worked for several years in multiple departments.,0.2857142857142857,0.0,0.2857142857142857
recalled,3,6,His smile and friendly disposition was well known and an great encouragement to many.,0.2857142857142857,0.0,0.2857142857142857
recalled,3,7,"He was known for greeting many with a smile and a 'Hi Boss,' which many acknowledged when remembering him.",0.4285714285714285,0.1428571428571428,0.4285714285714285
recalled,3,8,"A very nice tribute to a good man, husband and father as well as a great co-worker.",0.2857142857142857,0.1428571428571428,0.4285714285714285
recalled,3,9,Though the service was for his passing it was also used as a celebration of his life and those in who came where encouraged to where casual clothes to not be so formal.,0.5714285714285714,0.1428571428571428,0.5714285714285714
recalled,3,10,He was a big Tampa Bay Buc fan so many wore their Tampa Bay Buc Jersey's to show their support and love for him.,0.4285714285714285,0.2857142857142857,0.7142857142857143
recalled,3,11,He leaves behind a young wife of whom I worked with in a different department.,0.2857142857142857,0.0,0.2857142857142857
recalled,3,12,She was also very well liked.,0.1428571428571428,0.0,0.1428571428571428
recalled,3,13,He also leaves behind a teenage son and daughter who must now face life without their dad.,0.2857142857142857,0.0,0.2857142857142857
retold,1,0,We recently attended the funeral of one of my co-workers.,1.0,0.1428571428571428,1.0
retold,1,1,After some very unexpected health problems he passed away.,0.7142857142857143,0.5714285714285714,1.0
retold,1,2,"Still a young man with a young family, very sad and tragic.",0.2857142857142857,0.1428571428571428,0.2857142857142857
retold,1,3,Just a year prior he was healthy and working with a bright future.,0.2857142857142857,0.0,0.2857142857142857
retold,1,6,"His favorite sports team was the Tampa Bay Buc's and it was suggested, not required, that those who wanted to could wear their jerseys to the memorial service.",0.5714285714285714,0.0,0.5714285714285714
retold,1,7,"Probably close to two hundred friends, family and co-workers showed up at various times to show support to his wife and celebrate his shorter than expected life.",0.5714285714285714,0.1428571428571428,0.5714285714285714
retold,1,9,They all mingled together talking about the shortness of his life and shock of being loss so young.,0.2857142857142857,0.0,0.2857142857142857
retold,1,12,"However, the crowd inside didn't match the outside gloom as though sad, they were celebratory and thankful for having known him as friend.",0.2857142857142857,0.1428571428571428,0.2857142857142857
retold,1,13,We meet many we hadn't seen in sometime and all we happy to see us though not under the circumstances we came for.,0.2857142857142857,0.0,0.2857142857142857
retold,1,15,When he had finished we went forward and gave his wife a hug and expressed our shock and surprise at his death.,0.5714285714285714,0.2857142857142857,0.8571428571428571
retold,1,18,Unexpected bumps in the road that you have to deal with and move on.,0.1428571428571428,0.0,0.1428571428571428
retold,1,21,You never know when life will throw one of those bumps in your path.,0.2857142857142857,0.0,0.2857142857142857
imagined,3,1,When I say this came out of nowhere I really mean it.,0.375,0.125,0.5
imagined,3,3,I made coffee and breakfast for myself and my girlfriend.,0.625,0.5,0.875
imagined,3,4,We normally survive on coffee and something simple to eat.,0.375,0.25,0.375
imagined,3,5,"I cooked our favorite which we, I, call egg in a hole.",0.5,0.375,0.75
imagined,3,6,"As soon as my girlfriend, or should I say ex-girlfriend by now, entered the kitchen, something felt off.",0.75,0.25,0.875
imagined,3,7,I looked at her face and got a tinge of fear.,0.5,0.25,0.625
imagined,3,8,She looked so serious when she's normally so bubbly.,0.625,0.25,0.75
imagined,3,10,First she said she needed to talk to me.,0.75,0.25,0.875
imagined,3,11,I panicked and she must have saw it because she tried to calm me.,0.625,0.5,0.875
imagined,3,12,She said that had found someone else and was no longer in love with me.,1.0,0.0,1.0
imagined,3,13,My heart sank.,0.625,0.375,0.625
imagined,3,14,"It came out of nowhere, or I missed all the signs.",0.5,0.125,0.5
recalled,1,0,My live-in girlfriend left me after 3 years just recently.,0.75,0.125,0.75
recalled,1,1,"She said it just didn't fell right, after 3 years!",0.625,0.375,0.75
recalled,1,2,"We bought a house together (luckily I put that in my name only), adopted a dog together and I was starting to plan out our future.",0.875,0.25,0.875
recalled,1,3,"Then that rug was pulled out from underneath me, like Thanos snapping his damn finger.",0.625,0.125,0.625
recalled,1,4,Did I see it coming?,0.5,0.0,0.5
recalled,1,6,"Should I have seen it coming, yup!",0.25,0.0,0.25
recalled,1,8,"I found out she was talking to an ex of hers, but sometimes people make mistakes.",0.875,0.375,0.875
recalled,1,9,"We found about it, and got on with life.",0.25,0.125,0.375
recalled,1,11,"So here I am, heartbroken and just me and the dog (and yes, I told her I was keeping him and there wasn't going to be a discussion about it) so what do I do.",0.375,0.125,0.5
recalled,1,13,"Because I loved her, and I loved her family, and why punish her family by making them do it.",0.25,0.125,0.375
recalled,1,18,"Fast forward to now, I'm still without most of the crap she took with her.",0.5,0.125,0.5
recalled,1,20,"One set of sheets, 1 towel, paper plates and plastic forks.",0.5,0.125,0.5
recalled,1,22,Can I though?,0.25,0.125,0.25
retold,2,0,What do you do when she just doesn't want to be with you anymore?,0.625,0.375,0.625
retold,2,1,"There was no fight, there was no argument, she just looks you in the face, tells you she loves you and that you are an 'amazing man', but she just doesn't feel right and wants to leave.",0.625,0.25,0.625
retold,2,2,"I have never been more confused in all my life, HOW can I be an 'amazing man' and yet she wants to leave.",0.375,0.25,0.375
retold,2,3,"But there it was, she had been looking at places to move behind my back for months and I guess seeing someone else as well.",0.625,0.375,0.625
retold,2,4,"I bought my first house with this woman, adoped a dog with this woman and swore to take care of this woman (to her father) and now she wants to leave.",0.75,0.375,0.875
retold,2,6,And now she's leaving.,0.75,0.25,0.75
retold,2,7,My purpose for having a house and rebuilding it the way I did was there no longer.,0.5,0.125,0.5
retold,2,8,One of the hardest things in my life.,0.5,0.25,0.5
retold,2,9,So what to do?,0.25,0.0,0.25
retold,2,12,So I didn't have to see it.,0.25,0.0,0.25
retold,2,18,"They didn't know why I did most of the hard work for them, it was because they were great men and I wanted them to be my family, hell, sometimes I still do... but it just wasn't meant to be.",0.5,0.375,0.5
imagined,3,2,I first discovered the adventures of Call and McCrae in my freshman year of high school.,0.5,0.125,0.625
imagined,3,3,My new girlfriend at the time (who considered herself a bit of a cowgirl) was obsessed with the series.,0.625,0.25,0.75
imagined,3,4,She wasn't exaggerating to say she'd tried her hand at being a cowboy; she once joined an old fashioned cattle drive that took a herd of livestock from idaho to montana by horse.,0.5,0.25,0.625
imagined,3,5,She was so taken by the series and it's characters that she even had her bicep tattooed with a full half-sleeve of McCrae rearing back on a horse.,0.625,0.25,0.875
imagined,3,12,The cowboys have fought him for decades and want nothing but vengeance but they never get it.,0.25,0.125,0.375
imagined,3,13,Instead the reader is treated to a profound moment of acceptance from an incredibly strong-willed man as he ushers himself from his world.,0.125,0.0,0.125
recalled,1,0,I know it may sound silly but it was quite emotional to finish what I now consider to be my favorite book.,1.0,0.25,1.0
recalled,1,1,It is difficult to even come up with a single favorite book but I did in this case.,0.25,0.125,0.375
recalled,1,2,"I liked it so much , maybe because at 59, I am aging and related well to the characters.",0.25,0.0,0.25
recalled,1,4,Lonesome Dove is about two aging ex-Texas Rangers that feel the need to have one last great adventure.,0.5,0.25,0.625
recalled,1,5,This last adventure takes the form of a cattle drive from south Texas north to Montana (if memory serves me well).,0.375,0.125,0.5
recalled,1,6,There are many other characters involved with different backgrounds that could very well have books of their own.,0.25,0.0,0.25
recalled,1,12,"It was like losing a playmate, maybe even a friend.",0.375,0.125,0.375
recalled,1,15,I did find other similar books that were written about the western United State at around the same time period but it just didn't match the colorful characters in Lonesome Dove.,0.625,0.375,0.75
recalled,1,16,"Maybe it was because I was born in the panhandle of Texas, my dad was a real cowboy and I could relate better to many of the things mentioned in the book.",0.25,0.0,0.25
recalled,1,17,As such the others paled in comparison.,0.25,0.0,0.25
retold,2,1,It was a western which is outside of my normal book choices.,0.375,0.25,0.5
retold,2,2,It was titled 'Lonesome Dove' and was written by Larry McMurtry.,0.125,0.0,0.125
retold,2,3,'Lonesome Dove' is the name of a near ghost town in south Texas.,0.375,0.0,0.375
retold,2,4,The two main characters are Gus and McCall.,0.375,0.125,0.375
retold,2,5,They are aging ex-Texas Rangers that decide to go on one last adventure.,0.25,0.125,0.375
retold,2,6,They decide to steal some cattle from Mexico and start a ranch in the northern U.S.,0.5,0.125,0.5
retold,2,10,On of the major villains is the a really bad guy name 'Blue Duck'.,0.5,0.125,0.5
retold,2,12,She is a 'lady of the night' but sweet just the same.,0.375,0.25,0.5
retold,2,14,The scenery and imagery are very rich.,0.25,0.0,0.25
retold,2,16,You need to remember this book and maybe get other books written by McMurtry.,0.125,0.0,0.125
retold,2,17,I really miss this book -- it seemed like an old friend.,0.625,0.375,0.75
imagined,3,0,"Nine months ago, I had a little panic.",0.625,0.0,0.625
imagined,3,1,My graduation ceremony was set back.,0.875,0.25,1.0
imagined,3,2,The cause was my dry cleaner was late on delivering my cloth of the day.,0.625,0.25,0.75
recalled,2,0,it was during my graduation ceremony.,0.625,0.25,0.625
recalled,2,3,His number was not reachable.,0.5,0.0,0.5
recalled,2,7,"because that was my only option ., As i intend to look my best on this day.",0.25,0.0,0.25
recalled,2,9,I explained my ordeal and he promised to go check on my behalf .,0.25,0.125,0.375
recalled,2,24,I can never forget this day.,0.125,0.0,0.125
retold,1,0,This even took place at my convocation party.,0.625,0.5,0.75
retold,1,1,"I had planned to wear a particular outfits for this event just to standout.But unfortunately ,my dry-cleaner almost ruined it and that would have got me upset really.",0.75,0.25,0.875
retold,1,2,But i was happy at the end of the day one of my friend came trough for me by making sure the outfit made it to me at the last minute .Just when i had lose hope completely.,0.5,0.125,0.625
retold,1,3,As if that was not enough.,0.25,0.0,0.25
retold,1,10,There were alcohol for everyone.,0.25,0.125,0.375
retold,1,12,One of us started misbehaving and convulsing.,0.875,0.0,0.875
retold,1,15,One of us attended to him by giving him CPR .,0.375,0.125,0.5
retold,1,16,"after sometime , he gain consciousness .",0.375,0.125,0.375
retold,1,18,And planning to take him to the hospital but he refused going .,0.5,0.25,0.625
retold,1,22,He made sure he threw-up the alcohol intake from the party.,0.375,0.25,0.625
imagined,2,0,People have always made fun of my eyes and how they look crooked.,0.625,0.125,0.75
imagined,2,1,Growing up other kids would call me 'Crooked Eyes' and tease me endlessly.,0.5,0.375,0.5
imagined,2,2,"Thinking back, I guess I struggled socially because of the way I was treated through school.",0.375,0.125,0.5
imagined,2,4,The eye doctor I visited told me that I could have surgery to have my eyes realigned.,0.625,0.25,0.875
imagined,2,8,"Despite not being able to see on the day following my surgery, I was so thrilled to finally have this procedure done.",0.5,0.25,0.625
imagined,2,9,And once everything finally healed it was absolutely unbelievable!,0.375,0.25,0.5
imagined,2,11,My eyes look normal for the first time in my life.,0.375,0.0,0.375
imagined,2,12,Now I do not have to be so self conscious about the way I look.,0.375,0.125,0.375
imagined,2,13,All those years of being teased are gone!,0.5,0.25,0.5
imagined,2,14,I can't wait to go to my 10 year high school reunion and see everyone's faces!,0.375,0.0,0.375
recalled,1,0,"About six months ago, I went to the eye doctor to get my eyes checked.",0.75,0.5,1.0
recalled,1,1,My eyes were getting tired quickly and I was experiencing a lot of mild headaches due to eyestrain.,0.75,0.375,0.875
recalled,1,2,The doctor did a thorough examination and immediately noticed how terribly misaligned they were.,0.625,0.375,0.875
recalled,1,3,He recommended me to a surgeon to get my eyes aligned.,0.625,0.125,0.75
recalled,1,4,"I have had misaligned eyes for almost half a century and had never considered surgery, because my older sister had surgery for her misaligned eyes and is now practically blind in one eye.",0.375,0.125,0.375
recalled,1,5,"I had decided to live with my condition and when I became an adult, I went through one year of vision therapy to correct the problem.",0.25,0.125,0.375
recalled,1,6,"Vision therapy did help, but over time my eyes went back to their old ways and turned in very significantly.",0.375,0.25,0.375
recalled,1,7,"The doctor explained to me that my condition is a little different from my sister's and that surgery will not cause me to lose vision, because I have alternating vision and my sister had another condition that caused her to shut one eye off completely.",0.5,0.25,0.625
recalled,1,10,The surgeon put all kinds of different prisms up to my left eye and immediately I saw double.,0.375,0.25,0.625
recalled,1,12,She told me that my left eye turned inward 70-80 points and she could only correct it to 40 points without me seeing double.,0.5,0.25,0.625
recalled,1,15,The surgery scheduler didn't contact me until three months later and informed me that I would have to go back down for a new evaluation before the surgery.,0.625,0.125,0.75
recalled,1,18,"Three weeks ago, my husband took me to the eye hospital and I underwent surgery on both of my eyes and I cannot believe how having mostly aligned eyes has changed my life!",0.625,0.375,0.75
recalled,1,20,Children have always stared at me and asked why my eyes are so crossed.,0.125,0.0,0.125
recalled,1,21,This is no longer a problem!,0.125,0.0,0.125
recalled,1,22,"Just last week, I took a trip into town to the grocery store and was amazed at how much better I was treated.",0.5,0.125,0.625
recalled,1,23,It is also wonderful to get up in the morning and have almost perfectly aligned eyes while looking in the mirror getting ready for the day!,0.25,0.0,0.25
retold,3,0,I was experiencing lots of eye strain and headaches and decided to go to the optometrist to get my eyes checked out.,0.875,0.375,1.0
retold,3,2,I told the nurse at the office about my headaches and she ran all of the regular tests and checked for glaucoma.,0.5,0.25,0.75
retold,3,4,"As soon as the doctor came in to see me, he took one look at my misaligned eyes and told me that I could have surgery to get my eyes lined up properly.",0.875,0.125,0.875
retold,3,8,She was afraid that I would see double the rest of my life if she completely aligned them.,0.375,0.0,0.375
retold,3,10,"After hearing about all the risks involved, I had some trepidation.",0.375,0.125,0.5
retold,3,11,The surgery went very well and the thing that surprised me the most when I woke up was that I was not seeing double at all.,0.5,0.375,0.75
retold,3,12,"My vision was a little cloudy and I was groggy, but, my field of vision was so much broader.",0.375,0.125,0.5
retold,3,13,I looked into the mirror and saw that my eyes were truly aligned!,0.5,0.125,0.625
retold,3,18,I am so happy that I made the decision to get my eyes fixed.,0.25,0.125,0.375
retold,3,19,It has really changed my life in so many ways.,0.25,0.125,0.375
imagined,2,0,I am not one for bad news.,0.375,0.125,0.5
imagined,2,1,"Four months ago, I had to say goodbye to three friends in my life.",0.875,0.0,0.875
imagined,2,3,"To loose all three like that, I felt that the world was against me.",0.625,0.25,0.75
imagined,2,5,I moaned their deaths feeling suicidal.,0.875,0.5,0.875
imagined,2,6,I arrived to my Uncle's memorial service grief stricken.,0.625,0.5,0.875
imagined,2,8,My last view of my pet dog was crushing.,0.5,0.375,0.625
imagined,2,11,I am not okay with prepared or unprepared deaths.,0.375,0.125,0.375
imagined,2,12,I lost myself in these losses.,0.625,0.5,0.625
imagined,2,14,I do positive things in their memory.,0.375,0.125,0.5
recalled,3,0,In late May I lost my dog.,0.875,0.0,0.875
recalled,3,2,I still wasn't ready though.,0.625,0.25,0.625
recalled,3,3,She had been going downhill steadily but it didn't feel like enough time to prepare.,0.75,0.25,0.75
recalled,3,4,I think a part of me knew that it was coming the day before.,0.625,0.375,0.75
recalled,3,5,She was acting off and wasn't interested in much.,0.375,0.125,0.5
recalled,3,6,I had made the decision that if she didn't improve in a day I would have her euthanized.,0.75,0.5,0.75
recalled,3,7,The morning it happened I woke up and she had thrown up on the bed.,0.75,0.0,0.75
recalled,3,14,And then the next moment she was gone and I was cradling her head on my lap sobbing uncontrollably.,0.625,0.5,0.875
retold,1,0,"I knew that my dog was doing worse that morning, but she had come around before.",0.75,0.125,0.875
retold,1,2,She was laying on her dog bed and breathing heavily.,0.75,0.25,1.0
retold,1,3,Just before it was time to go I told my fiance to go without me.,0.5,0.25,0.625
retold,1,5,I laid her head on my lap.,0.375,0.25,0.625
retold,1,9,I told her what a great dog and friend she had been.,0.5,0.375,0.75
retold,1,12,It was only about a half hour after my fiance left.,0.5,0.125,0.625
retold,1,14,My dogs breathing changed and she seemed agitated.,0.625,0.5,0.875
retold,1,15,She let out a few rattling breathes and then she was gone.,0.625,0.25,0.625
imagined,1,1,"Blissfully unaware, I enjoyed the prospect of having a new infant in the family to love and spoil as only a grandmother can.",0.125,0.0,0.125
imagined,1,2,"That happiness was short-lived, however, when CPS became involved in the baby's life because of events that had happened in her mother's history.",0.875,0.125,1.0
imagined,1,3,I was shocked to find that she had things in her history that were so terrible that CPS felt the need to investigate and eventually remove the children from her care.,0.375,0.125,0.375
imagined,1,5,"Three months ago, things really changed.",0.625,0.125,0.75
imagined,1,6,My son had to move in with my husband and I.,0.75,0.25,0.75
imagined,1,7,My infant granddaughter also moved in.,0.625,0.125,0.75
imagined,1,8,"Now that she's here, I find myself raising her on my own.",0.375,0.25,0.5
imagined,1,10,This poor innocent child now has to suffer the consequences of her parents' actions.,0.375,0.125,0.375
imagined,1,11,Why is it that the good among us always find suffering at the hands of those who choose to do badly?,0.375,0.125,0.375
imagined,1,14,"Although it has been so difficult, my sole focus is on this beautiful child and making sure she has the love, care, and attention that all innocent children deserve.",0.125,0.0,0.125
recalled,2,0,Today my first grandchild was born into the world.,1.0,0.375,1.0
recalled,2,2,My grandchild is a girl and that is happy.,0.375,0.125,0.5
recalled,2,4,"However, her mother is what brings the sadness.",0.25,0.125,0.375
recalled,2,5,My son's girlfriend is a possible prostitute.,0.875,0.125,0.875
recalled,2,6,She is a known drug user.,0.5,0.125,0.625
recalled,2,8,She is twenty two years old and already has two children from previous relationships.,0.5,0.25,0.625
recalled,2,9,The youngest of which she does not even know for certain who the father is.,0.5,0.125,0.625
recalled,2,10,Another sad thing is that she has child protective services involved with the two boys and now this girl.,0.75,0.375,1.0
recalled,2,11,She got high and her two year old was out wandering the streets alone.,0.5,0.125,0.625
recalled,2,12,The police were called and found her passed out on the sofa.,0.625,0.25,0.75
recalled,2,13,"Now, they are involved with this baby.",0.25,0.0,0.25
recalled,2,14,"My granddaughter, son, and his girlfriend are having to move in with me and my husband.",0.75,0.25,0.75
recalled,2,15,We have to sign papers that we will watch the child and not allow her mother around her unsupervised.,0.625,0.0,0.625
recalled,2,16,Basically I now have to raise my grandchild as my own child.,0.25,0.125,0.375
retold,3,2,Over the past few months CPS has twice assigned me as a guardian protector of sorts of the child due to her mother.,0.875,0.125,1.0
retold,3,3,Her mother has now been diagnosed with a mental disorder and is being watched closely for that and for drug use.,0.875,0.125,0.875
retold,3,4,It's hard having them all in the home.,0.25,0.0,0.25
retold,3,5,I have been trying to help all of them.,0.125,0.0,0.125
retold,3,8,I also spend time trying to help my son to be strong enough to raise the child on his own if he has to.,0.5,0.375,0.625
retold,3,16,I hope every day that she has a bright and safe future.,0.25,0.0,0.25
imagined,2,0,"After trying for a year to have a baby, I finally got pregnant.",1.0,0.25,1.0
imagined,2,3,"We had the name picked out right away for each gender, we knew how we were going to decorate the room, we notified everyone, we were just ready.",0.5,0.375,0.5
imagined,2,4,"Then, 6 months ago, I had a miscarriage.",0.875,0.0,0.875
imagined,2,7,I thought it just meant I wasn't meant to have a baby.,0.25,0.125,0.25
imagined,2,10,"When everyone found out, we were flooded with support, gifts, small favors, etc.",0.5,0.25,0.5
imagined,2,12,My husband and I haven't tried again and I don't know if I ever want to.,0.375,0.25,0.375
recalled,1,0,"Dear Diary,Well, the day has come.",0.5,0.375,0.625
recalled,1,1,"I didn't think that this would actually happen to me, but it did.",0.375,0.0,0.375
